	branch_length
488	0.009382967794
489	0.0006940992239
490	0.009579041021
491	0.004484374685
492	0.08455944174
493	0.006062258842
494	0.0
495	0.151207401
496	0.01927176619
497	0.0
498	0.001416330289
499	0.04337290367
500	0.01017631335
501	0.01701790685
502	0.0007468482944
503	0.0
504	0.0
505	0.007911986211
506	0.00294587612
507	0.0
508	0.0
509	0.0
510	0.0
511	0.06564074705
512	0.1061306661
513	0.01489539699
514	0.01913514167
515	0.004556992273
516	0.01052886921
517	0.00832696299
518	0.01174444196
519	0.01960507305
520	0.01862041349
521	0.0
522	0.0
523	0.0
524	0.0
525	0.02921295471
526	0.02756666746
527	0.00204884261
528	0.001812988552
529	0.003096172542
530	0.004083497679
531	0.05380341103
532	0.07464695344
533	0.0
534	0.0
535	0.0004083971788
536	0.0
537	0.07508855962
538	0.0
539	0.0
540	0.02772457782
541	0.0
542	0.0
543	0.01102979649
544	0.0
545	0.0
546	0.0
547	0.001281282275
548	0.0
549	0.0267785037
550	0.01100362019
551	0.0131315445
552	0.0
553	0.01898467109
554	0.002516480295
555	0.04667700347
556	0.0
557	0.02885302551
558	0.009709843469
559	0.0
560	0.0
561	0.003214349021
562	0.0
563	0.0
564	0.01210253652
565	0.0
566	0.0
567	0.0
568	0.01487957141
569	0.02328792301
570	0.01928295549
571	0.001339344202
572	0.005242739321
573	0.001028886082
574	0.001438126304
575	0.0
576	0.0
577	0.0
578	0.0
579	0.006504113937
580	0.01357238885
581	0.005805647165
582	0.004706280465
583	0.0
584	0.0
585	0.0
586	0.0
587	0.0
588	0.0
589	0.0
590	0.009543636067
591	0.00759460956
592	0.0
593	0.004890607085
594	0.01869168644
595	0.007518656475
596	0.02136601345
597	0.1512672095
598	0.0
599	0.0
600	0.0
601	0.0
602	0.0
603	0.005338225868
604	0.008946075627
605	0.0137647987
606	0.01210654553
607	0.0
608	0.04469900652
609	0.01846496873
610	0.0
611	0.009310263637
612	0.01186416709
613	0.0
614	0.0
615	0.000522387389
616	0.0144004279
617	0.01097827092
618	0.01605070405
619	0.00363156185
620	0.03373380499
621	0.04064428009
622	0.0
623	0.0
624	0.0003032277083
625	0.02410814644
626	0.005552764314
627	0.005806095219
628	0.0
629	0.002807655562
630	0.01889364831
631	0.0
632	0.0
633	0.007368476799
634	0.006700509592
635	0.004858961669
636	0.005326994822
637	0.05217717158
638	0.04032566741
639	3.954431939e-07
640	0.02080070632
641	0.002498569696
642	0.009346795245
643	0.0
644	0.01551847985
645	0.0
646	0.004550953604
647	0.0
648	0.0
649	0.03745126044
650	0.01386041182
651	0.0
652	0.0
653	0.0
654	0.0
655	0.0
656	0.0
657	0.03143073127
658	0.0
659	0.0
660	0.0
661	0.02559919423
662	0.0
663	0.00122924146
664	0.03161905777
665	0.0
666	0.003007554962
667	0.01476626808
668	0.01985550519
669	0.0
670	0.0
671	0.0
672	0.0
673	0.0
674	0.01383600332
675	0.0
676	0.0
677	0.0
678	0.0
679	0.003788637832
680	0.0
681	0.008787818835
682	0.01459333855
683	0.01095327679
684	0.00696360716
685	0.00140430946
686	0.006693415281
687	0.0
688	0.0
689	0.01983088719
690	0.005841104006
691	0.002729965262
692	0.02059913203
693	0.0
694	0.0001513233416
695	0.01870324637
696	0.001392104074
697	0.0
698	0.01692421749
699	0.07175298837
700	0.0
701	0.009240141649
702	0.00177194906
703	0.0
704	0.0
705	0.002867693878
706	0.005373849009
707	0.0
708	0.02168615937
709	0.01140082934
710	0.02909713584
711	0.0
712	0.0
713	0.008168765621
714	0.0
715	0.0
716	0.0
717	0.05665683112
718	0.0
719	0.02921395725
720	0.02246229111
721	0.01968909109
722	0.002886818592
723	0.003841437664
724	0.01159168034
725	0.01465355932
726	0.00849732171
727	0.04134907848
728	0.009236786753
729	0.0
730	0.01399450022
731	0.0
732	0.0
733	0.03307927501
734	0.0
735	0.03487649221
736	0.0
737	0.0
738	0.0
739	0.02198858336
740	0.007744013725
741	0.008782332153
742	0.02260150864
743	0.0
744	0.0
745	0.003271618145
746	0.03080554554
747	0.006650907892
748	0.008227702003
749	0.0
750	0.0
751	0.0
752	0.02005319977
753	0.0364901146
754	0.0
755	0.004882489357
756	0.02239281163
757	0.1251035506
758	0.005673752535
759	0.0004581838324
760	0.0
761	0.01939334051
762	0.04223890187
763	0.0
764	0.0
765	0.0
766	0.006657411913
767	0.00921783498
768	0.0
769	0.01587158828
770	0.0
771	0.02296479988
772	0.0
773	0.0007137206808
774	0.01878628213
775	0.02748900258
776	0.0
777	0.0
778	0.01173043755
779	0.02116453939
780	0.03233876892
781	0.05071675415
782	0.0
783	0.0005366972801
784	0.1242924845
785	0.01414758404
786	0.002780970202
787	0.0
788	0.0
789	0.0
790	0.0
791	0.0
792	0.0
793	0.001475574944
794	0.1336557365
795	0.004371792894
796	0.07290749068
797	0.006837469447
798	0.0
799	0.001251498469
800	0.0
801	0.0
802	0.0
803	0.02555826107
